,,,,,,,,,,,,Odds Portal,,,"Pinnacle odds until April 2, 2018.  bet365  odds from then on",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds,Bookmakers Surveyed,Home Odds Open,Home Odds Min,Home Odds Max,Home Odds Close,Away Odds Open,Away Odds Min,Away Odds Max,Away Odds Close,Home Line Open,Home Line Min,Home Line Max,Home Line Close,Away Line Open,Away Line Min,Away Line Max,Away Line Close,Home Line Odds Open,Home Line Odds Min,Home Line Odds Max,Home Line Odds Close,Away Line Odds Open,Away Line Odds Min,Away Line Odds Max,Away Line Odds Close,Total Score Open,Total Score Min,Total Score Max,Total Score Close,Total Score Over Open,Total Score Over Min,Total Score Over Max,Total Score Over Close,Total Score Under Open,Total Score Under Min,Total Score Under Max,Total Score Under Close,Notes
25-Aug-19,16:10,Port Adelaide,Fremantle,Adelaide Oval,110,67,,15,20,10,7, 1.27 , 3.77 ,9,1.36,1.27,1.38,1.27,3.20,3.20,4.00,4.00,-22.5,-27.5,-17.5,-27.5,22.5,17.5,27.5,27.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,154.5,154.5,168.5,168.5,1.89,1.89,1.82,1.82,1.89,1.89,2.00,2.00,
25-Aug-19,15:20,Richmond,Brisbane,MCG,82,55,,12,10,8,7, 1.34 , 3.20 ,9,1.36,1.36,1.44,1.36,3.20,2.80,3.30,3.30,-18.5,-20.5,-14.5,-20.5,18.5,14.5,20.5,20.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,158.5,158.5,163.5,163.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,
25-Aug-19,13:10,Western Bulldogs,Adelaide,Mars Stadium,121,87,,18,13,13,9, 1.34 , 3.21 ,9,1.54,1.30,1.54,1.35,2.50,2.50,3.60,3.35,-11.5,-18.5,-11.5,-17.5,11.5,11.5,18.5,17.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,161.5,161.5,167.5,167.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,
24-Aug-19,18:10,West Coast,Hawthorn,Optus Stadium,67,105,,9,13,16,9, 1.24 , 4.02 ,9,1.22,1.20,1.24,1.24,4.35,4.20,4.60,4.25,-29.5,-29.5,-26.5,-26.5,29.5,26.5,29.5,26.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,159.5,157.5,159.5,157.5,1.89,1.91,1.91,1.91,1.89,1.91,1.91,1.91,
24-Aug-19,19:25,Gold Coast,GWS Giants,Metricon Stadium,55,127,,7,13,20,7, 8.81 , 1.07 ,9,11.00,9.50,12.00,10.00,1.04,1.03,1.07,1.07,47.5,42.5,50.5,42.5,-47.5,-50.5,-42.5,-42.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,170.5,170.5,175.5,175.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,
24-Aug-19,16:35,Geelong,Carlton,GMHBA Stadium,129,61,,19,15,8,13, 1.15 , 5.32 ,9,1.12,1.12,1.18,1.15,6.25,5.00,6.25,6.00,-34.5,-34.5,-30.5,-32.5,34.5,30.5,34.5,32.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,158.5,156.5,158.5,156.5,1.89,1.89,1.89,1.91,1.89,1.89,1.89,1.91,
24-Aug-19,14:10,North Melbourne,Melbourne,Blundstone Arena,88,83,,13,10,12,11, 1.26 , 3.81 ,9,1.42,1.25,1.42,1.27,2.90,2.90,4.00,4.00,-15.5,-25.5,-15.5,-24.5,15.5,15.5,25.5,24.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,172.5,167.5,172.5,168.5,1.89,1.89,1.89,1.87,1.89,1.89,1.89,1.95,
24-Aug-19,13:45,Sydney,St Kilda,SCG,109,64,,17,7,8,16, 1.36 , 3.14 ,8,1.50,1.36,1.50,1.36,2.60,2.60,3.30,3.30,-11.5,-18.5,-11.5,-18.5,11.5,11.5,18.5,18.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,163.5,163.5,174.5,173.5,1.89,1.89,1.91,1.95,1.89,1.89,1.91,1.87,
23-Aug-19,19:50,Collingwood,Essendon,MCG,76,65,,10,16,10,5, 1.19 , 4.65 ,9,1.56,1.18,1.56,1.18,2.45,2.45,5.20,5.20,-10.5,-31.5,-10.5,-31.5,10.5,10.5,31.5,31.5,1.89,1.91,1.89,1.91,1.93,1.93,1.91,1.91,154.5,154.5,157.5,156.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,
